"Category","CategorySlug","Product","Type","Spec","ImageFile","ImagePath","ImageStatus","SourceFolder","WordPressAssetPath"
"Biostimulators","biostimulators","Sculptra","PLLA","","sculptra.webp","assets/images/products/sculptra.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/sculptra.webp"
"Hair Treatment","hair-treatment","Hair Care Line Coming Soon","","","hair-care-line-coming-soon.webp","assets/images/products/hair-care-line-coming-soon.webp","pending","완성이미지/WebP","wp-theme-starter/assets/images/products/hair-care-line-coming-soon.webp"
"Others","others","Cartin","","5ml x 10Vials","cartin.webp","assets/images/products/cartin.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/cartin.webp"
"Others","others","Cindella","","5ml x 10Vials","cindella.webp","assets/images/products/cindella.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/cindella.webp"
"Others","others","DAIHAN Sterile Water","","","daihan-sterile-water.webp","assets/images/products/daihan-sterile-water.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/daihan-sterile-water.webp"
"Others","others","GC Arginine 1010","","","gc-arginine-1010.webp","assets/images/products/gc-arginine-1010.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/gc-arginine-1010.webp"
"Others","others","GC Arginine 2510","","","gc-arginine-2510.webp","assets/images/products/gc-arginine-2510.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/gc-arginine-2510.webp"
"Others","others","Guthion 1200mg","","10Vials","guthion-1200mg.webp","assets/images/products/guthion-1200mg.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/guthion-1200mg.webp"
"Others","others","H-Lido Cream","10.56%","500mg","h-lido-cream.webp","assets/images/products/h-lido-cream.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/h-lido-cream.webp"
"Others","others","Jeil High B","","10ml x 10Vials","jeil-high-b.webp","assets/images/products/jeil-high-b.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/jeil-high-b.webp"
"Others","others","Laennec","","2ml x 50Vials","laennec.webp","assets/images/products/laennec.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/laennec.webp"
"Others","others","L-car","","5ml x 10Vials","l-car.webp","assets/images/products/l-car.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/l-car.webp"
"Others","others","Liporase","","10Vials","liporase.webp","assets/images/products/liporase.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/liporase.webp"
"Others","others","Luthione 1200mg","","10Vials","luthione-1200mg.webp","assets/images/products/luthione-1200mg.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/luthione-1200mg.webp"
"Others","others","Luthione 600mg","","10Vials","luthione-600mg.webp","assets/images/products/luthione-600mg.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/luthione-600mg.webp"
"Others","others","Melsmon","","2ml x 50Vials","melsmon.webp","assets/images/products/melsmon.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/melsmon.webp"
"Others","others","Vitamin C","","20ml x 10Vials","vitamin-c.webp","assets/images/products/vitamin-c.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/vitamin-c.webp"
"Others","others","Vitamo","","2ml x 50Vials","vitamo.webp","assets/images/products/vitamo.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/vitamo.webp"
